cpdID;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15;PC16;PC17;PC18;PC19;PC20;PC21;PC22;PC23;PC24;PC25;PC26;PC27;PC28;PC29;PC30;PC31;PC32;PC33;PC34;PC35;PC36;PC37;PC38;PC39;PC40;PC41;PC42;PC43;PC44;PC45;PC46;PC47;PC48;PC49;PC50;PC51;PC52;PC53;PC54;PC55;PC56;PC57;PC58;PC59;PC60;PC61;PC62;PC63;PC64;PC65;PC66;PC67;PC68;PC69;PC70;PC71;PC72;PC73;PC74;PC75;PC76;PC77;PC78;PC79;PC80;PC81;PC82;PC83;PC84;distance
M138.05472-T5.829;-0.08297440952502583;0.11136871750411373;-0.11747291940600117;-0.3325604973960182;0.015209313966791127;0.09786573519570899;-0.04893656281433029;-0.019299193027058976;-0.052304181026085056;-0.0843974982191483;-0.05753054843233847;-0.03041468669910575;0.05789814345038507;-0.0038648692715535842;-0.006850352577476356;-0.006591930810824512;0.10326131756100448;0.0551133803511883;-0.08091361554795728;0.01696542882448503;0.009651095984063324;0.05120353467251927;0.058110832760088424;0.04913078334145549;-0.006703253794008789;0.0284758950191827;-0.0644016048959556;0.033067088480863385;-0.043290743190575486;0.003898532909104962;0.034623382730043284;-0.0005170131298276393;-0.02554996058612695;-0.016588028772147687;0.09620804332761422;0.04498700931524061;0.0016503832761177353;-0.02862852493877082;0.002008244388349741;-0.025066176111432647;0.04909807420552298;0.018159666058611038;-0.003611364209494273;-0.04756708082552057;0.018981494927994697;-0.05860846766737292;0.00972000304441737;0.012092666090354271;0.029718144419057152;-0.028103075958332845;-0.021946629088069766;-0.016715550534806056;-0.023705038502648053;0.0029780745133040068;0.012692185528007667;-0.013408556745497678;-0.02344479917074233;0.0065274661693878085;-0.01576004031402539;0.0438623523988632;-0.010880533974937791;-0.02466742438335512;0.010653752676995611;-0.03888191548207292;-0.03098573073037662;0.002999082259779225;-0.04211016750193884;-0.008720782523650083;0.02109071005925093;0.016084665079747613;-0.002529002600416861;0.02769196466564163;0.009445856512250255;-0.00695677696233931;-0.013554026007903803;0.02309552275941496;0.011668063271855825;-0.01744118262536339;0.006004670171910991;0.02412956879210425;0.005530614317073923;-0.009389294148781773;0.005513192937185563;4.800062364303672e-15;8.254227678807933
M195.08733-T0.759;-0.18247353866439736;0.19796672418994246;-0.18632058371251126;-0.3295072143223108;0.07207905408033495;0.10987860564367812;0.17355657436649222;-0.271586090627425;0.49811595881717496;0.05653291403400114;0.1605726108129806;-0.3125158323231105;0.07042296822971973;0.05319806736907701;-0.08138081302369016;-0.1961986671891663;-0.07078782136030876;0.09885586030549705;-0.09461324077537323;0.04212010340800529;0.002614939108238512;0.07810308306667724;0.018053394041399485;0.04845885189687919;0.039938023416626445;0.03588175975035476;0.0158394147793349;0.002384067833759078;0.10583128084133099;0.04991908424341618;-0.07839768882390616;-0.011028079668977167;-0.01370162449988742;-0.005428556202851742;-0.07390238060495016;0.04971463247451343;0.008527533384609319;-0.010057379866413117;0.0027529137239833924;-0.041953180455270495;-0.00755826305485529;0.016747746695400485;0.007130106133034154;-0.018700111671487548;-0.0002921124190192598;0.07253944097919746;-0.02447347512304475;-0.01370416190620823;-0.05288256601026637;0.06211381040443998;-0.007849555123788307;0.004924964627151712;-0.047910870326562424;-0.022336602567918303;0.033630991863988574;0.018603743634351348;-0.012111403502268392;-0.03374196663414471;-0.00021646591256158773;-0.03066543676757772;-0.034151000274579235;-0.022957260664138574;-0.006154094233570341;-0.026582815449223078;-0.007625586025789396;-0.029818650298076982;-0.017629233979770554;0.0330554734422568;0.00976156505282147;0.004295343124253406;0.01875952904427518;0.003826189703697837;-0.018793816404530345;0.01993101255971159;-0.0003924602343586421;0.015703161764621245;0.011035191432490979;0.006861669806511652;0.0034913997720015712;0.0078093257425537015;-0.011532905287540673;-0.0066838927627892;0.0029955068819736497;2.554630334786707e-16;16.00173370095582
M195.08728-T0.765;-0.18494917974893707;0.18274063803601892;-0.18833233552072784;-0.32476095863874954;0.07635920293124739;0.10788396037172716;0.18392835888973502;-0.2787755922720014;0.5133959672669002;0.057756790466213924;0.15545138716012;-0.30464401607255215;0.05851075770429519;0.03498453643620236;-0.08242539872611167;-0.1765673741573612;-0.06980883149730656;0.0986847793951925;-0.09338383477392097;0.036417514525836164;0.0031360660907090642;0.07640072584404949;0.010095433567868857;0.03624886918077619;0.030923043746936326;0.024568619045699562;0.004978245647762816;0.007397419244863555;0.09752126311334541;0.049693152165096184;-0.0936397654933585;-0.012878361524243716;-0.014294720500172869;-0.028473837567833428;-0.06965559428020879;0.06078571018529421;0.009543603341695898;-0.0013313504994994254;0.011989552198134886;-0.0554330494081214;-0.0009793258341306921;0.018115344350266484;0.0016806259181758442;-0.02231193536743558;0.005978758596461028;0.06365036924333878;-0.020704272525370226;-0.02526471626702203;-0.04471749044237659;0.0646940490214268;-0.01920437422923534;0.009947550616962965;-0.04610291438023739;-0.03633484927177134;0.03856832252772314;0.014625692492107161;-0.014368465101432215;-0.034384454876041574;-0.007302275136984863;-0.04813763826475031;-0.03186785071366408;-0.029289239284307808;0.0025512511334824803;-0.014458083844406912;0.0028509859876808615;-0.028964074117866542;-0.01605803989347861;0.02573725915658258;0.016851356214174416;0.00487389721706617;0.012590124432715061;0.003879328874931009;-0.020460107695796297;0.018985628140693555;-0.002782247608809435;0.0020198378130631255;-0.00038108743718588445;0.01165031803484138;0.0004929107612077301;-0.007764403113609847;-0.015508899650490193;-0.025726070602798034;-0.0027877700609695417;1.9755756486397447e-14;15.45290620495875
M195.08735-T0.756;-0.17950715569604175;0.1778981275665104;-0.2019214946599258;-0.3252258878625134;0.05440012637022249;0.09835694891614163;0.18785540408083606;-0.2961599684154558;0.5071587964017932;0.04869932206762525;0.15523651045361786;-0.29526228060178716;0.08057674662929967;0.04487137315226854;-0.08279539284089595;-0.18883501845583964;-0.07526309066926629;0.09516015087385876;-0.10420684159240313;0.03854879438772879;0.0030568939912648096;0.06438435892953319;0.01125755527508197;0.04165871117374713;0.03491386617437135;0.0322666535471926;0.014719605939133728;0.01461060725688233;0.10616410281530624;0.047572462066902084;-0.08468664437700311;-0.00638400286092627;5.385559738856715e-05;-0.0084384610714744;-0.07240538281878309;0.03940860749497518;0.017366303668720197;-0.012041906361721406;0.0023386349160683787;-0.05514073741563253;-0.003725116384259016;0.03150196494317485;0.012674203574559336;-0.013815546931511881;0.002263507608749199;0.07354286035380053;-0.031075733001600183;-0.023797322661059803;-0.04176604101607081;0.06031338963867681;-0.02920143763912799;-0.0038116183353014608;-0.04110524885362837;-0.0317013727653681;0.03369082793616483;0.015069766695477646;-0.013701113934946026;-0.028308839048470105;-0.005231150949303113;-0.0448223281508279;-0.04109064219492573;-0.02973267724923857;-0.0020642142196813117;-0.03275515421825413;-0.002467843621304861;-0.026733587735297142;-0.023011928536779337;0.023441863750326388;0.022926590750764177;0.02146781545749199;0.009640605429185928;-0.001876091308409926;-0.023005266049175303;0.016108439975747364;0.00016242689814323212;0.006539687533706001;0.006849221891139989;0.006688436519419518;-0.01082002470676782;0.0031768485781079286;-0.01621540308470062;-0.011629564840638925;-0.010115542707693898;3.857644468557583e-15;15.020559158190922
M94.065-T3.744;0.9874541626227609;0.17638308918412193;0.16056557357740944;0.05544956741171892;0.14165622868588204;-0.1962055707549544;-0.19850784033501273;0.03527979082529966;0.09599548699350807;-0.0035970170919661106;0.05397096412014929;-0.056036858005026294;-0.012583595673692823;-0.0013212210448550784;0.005321639899929214;-0.0492457814353777;0.007082577739842958;0.020467897183283082;0.061108714462140785;0.08085658544552769;-0.02081198204160975;0.04616284498826379;0.03238513964112801;0.033964207253302674;-0.02450684650986949;-0.03007831559773765;-0.03280828888704501;-0.013206600629598188;0.056282089079747424;-0.023458269544500417;-0.024534051416164278;0.034696416196564724;0.010252258192738692;0.03409818455899894;-0.023339214122726878;-0.0037821964772276643;-0.028520751697658477;-0.0070674301829721595;-0.00760173554495192;0.03558372277543401;0.002942515567958073;0.003995790736194702;0.08794955909345296;-0.07257112079698094;-0.00538104286119588;-0.07944910171093725;-0.00401610141098009;-0.03557780253339177;0.060973861587517164;0.07363381803165452;-0.0023786008435653246;0.042379711600173425;0.021219282298309074;0.021572259363326844;-0.05808137961445557;-0.04737829877815263;-0.06620695177133268;0.016525847919327263;0.028177202323185314;0.019558918452191352;0.04666950619172822;0.015453033522068721;-0.029858567890104052;-0.03182576675244874;-0.003953422815753726;0.008761495785860251;0.01919055845077099;-0.0288102219243562;0.043592218621235315;-0.007609181280957798;-0.0016692601367576095;0.006724875623909342;-0.02857536853621459;0.016024772636733717;-0.035143703886906595;-0.032813508748515574;0.014975588834566528;-0.013238483393870123;-0.017327425404644492;0.00023389336875125392;0.00179406983473107;-0.00203890334996029;-0.0016577306901536396;1.7662302184716306e-15;59.61737649192179
M94.06496-T3.202;0.6696636431656435;0.07212044711900492;0.2297240651177673;-0.04768153134743462;0.24092178788532403;-0.17468908522741342;-0.2614344530738783;0.06705930155555696;0.06971400379963007;-0.20350769751247047;-0.11615352814074853;-0.08650885699168406;0.051767105833816426;-0.005698696766474895;-0.29973961391999016;-0.059210820799406684;0.08306256927146449;0.2678338085412007;0.0972586043317311;-0.06939585263660823;0.060160482293842965;0.07937818265966577;-0.20085594599271386;-0.17353572062492661;-0.18729112996727276;-0.12809647241681524;0.0013825168588614929;-0.058782949020678425;-0.2745139211381588;0.13029617579189595;-0.12160360355052963;-0.007840132867721903;-0.030826328565122695;0.07948278800443528;-0.10985137497415891;-0.17460824475637549;0.045862740233053825;-0.11428491405906949;-0.11570401262163513;0.3359709020555515;-0.07385998787187172;0.31183964886290194;0.07863596719793485;0.033805342857981056;-0.2059105466804862;-0.0011268491704772671;-0.025202051734602823;0.07457724061530152;0.03133379395169963;0.02222751906330427;0.04043454497311611;-0.14266423745317022;0.00944918160343103;0.03698468031961502;0.03955088264837886;0.01758354564797787;-0.04464008075043834;-0.21296993777901058;0.055548723847545334;0.06619333930943055;-0.12842963601381321;0.0704054622701825;0.09410303451173346;0.0702323459369649;0.11470339237964436;0.014291632908203037;-0.025958124746545082;0.09129869632093489;-0.06130689568501746;-0.08889042293224043;0.19258714454462988;-0.13542739696844705;-0.033737112467670624;-0.14449429898504956;0.023076877464041492;-0.18580290293187426;-0.01524435877959752;0.1020208221032966;0.08815126321465032;0.0327390919111739;0.17290392943545152;0.11046700065701391;0.15157057364469095;-9.958447600081228e-17;40.03100996210397
M104.10685-T4.092;-0.15114227828365603;0.18813750600457785;-0.015121912935924483;-0.24361893295362702;0.037021111255916075;-0.06042114379406242;0.01434266485920077;0.007847009797391773;0.07465767929554501;-0.054958223660708495;-0.00418178425354512;-0.10714857134832065;-0.012048469404230211;-0.022444965000432106;-0.08661008159087061;-0.030491615889218907;-0.089527164079594;0.043749202640211614;0.023586636170417674;0.03968941274091716;0.01656193300244882;-0.036054692991719026;-0.09151426321006627;0.005698055847392299;-0.0903563345741028;-0.0628380381319333;-0.08515404391177651;-0.019836618932080132;0.07875040705482786;0.05710788205502798;-0.029447845503423904;0.01235451391416301;-0.04485024984118416;-0.0095406758385341;-0.019116285520613965;0.07034535023718104;0.04802745550933737;-0.005175497082180208;-0.028699200227026614;0.017697889622830774;-0.028417955869161612;0.017079937807502533;-0.04011858983379435;0.019596321872582517;0.011635587444895264;-0.03286532109384619;0.013030552141643685;-0.0017526951887679712;0.06330041882139602;0.0009019705685355788;-0.03531254993783288;-0.10935125873913393;0.02009165388475077;0.08707821056044661;-0.06150544749336763;0.08969321939044088;-0.07874674395745213;-0.06216256166533533;0.01591538888643884;0.03470120954890276;-0.020836684714566227;0.0448512200658538;0.035583516371476394;-0.012656221391216603;0.04078596493705319;-0.03107384958705929;-0.011148878435009765;-0.017991410976908775;-0.0558740898727777;-0.0770445176428313;0.06239215288270062;0.030435299992383334;-0.03388608268984854;-0.03852745919572705;-0.022269168540065488;-0.016236413493759233;0.015682498411771245;0.003436298619686839;-0.010392876989136005;0.0031170998400019446;0.03233342263702613;-0.03806558578819325;0.029246197561669674;-2.859356488831806e-16;14.343176037370982
M122.09643-T2.209;1.1178133945405293;0.014530044533296677;0.20847934023113754;0.07571062920067598;0.18286017608642352;-0.09578719498344078;-0.08929194742730745;0.05412138514721173;0.027116574693169797;0.04045095338798903;0.08241731499600562;0.009069261230678275;0.009886678724814035;-0.20897806974053568;0.020190897228594358;-0.08936794321486322;-0.10619132807679585;-0.023069690448643827;0.04817628792414413;0.10447413317315966;-0.04938580145578593;0.060563596826914354;0.04037890520137017;0.05336184324655333;-0.008874453799594484;-0.043995669895673196;-0.11677269797087587;0.03524250280806975;0.004144234366326442;0.01611847049009346;0.010492258994244486;-0.03588925064646878;0.01338394366755431;0.03480924171314951;0.004643652175442544;-0.00728737152232887;0.01722507420791159;-0.03393631087593902;-0.020035219905502333;0.02626083542446641;-0.02663185054955044;0.013958253735661522;0.03549540745581784;0.013264186471331518;-0.020708388302357834;-0.021438059857724165;-0.05557518988996456;0.01722259473600854;-0.005973019944888206;0.02705234813635694;0.00836341379451378;0.0306519591553099;0.017014096459821874;0.005214139437995375;0.04300775405239165;0.014067359131216425;0.03270128723512135;-0.029704357400942964;0.009317708969430148;0.023259312526540264;0.012612783248458315;-0.004925192282508458;-0.005375067944777909;-0.0006655905686652301;0.023951734271570733;0.002357795673086536;0.01650941995523668;0.023708329767710094;-0.0028157605769900847;0.0016183381609665994;-0.010497176657270279;-0.02023194900093044;0.004092453339379688;-0.011108122281846027;-0.0017934809248920435;0.009649131152243955;-0.00847044634976969;-0.019814213942446784;-0.0015736656210249803;0.0006680053986422303;-0.0010343969561550533;-0.0009354978199156513;0.0037191562329655227;-2.4521110314527183e-15;66.4418513542645
M110.05999-T4.271;1.265613810275717;0.09775544337050232;0.0814351811929299;0.03728949159850108;0.15523757122888046;-0.18573424355198875;-0.2192686701988117;0.006727862099431591;-0.010005389989466056;-0.08766156684342478;0.047202367363960954;-0.012970336187980422;-0.0405625154706659;-0.006575280631808899;0.040876377676035004;-0.016902214877352616;-0.011041101189770771;0.0058033660288408315;-0.00030626466440175523;0.019813455652690742;-0.009202829969516031;0.03793552742741473;0.05412653642866286;-0.007726578612539598;-0.007270295444013596;-0.004221978471164381;0.02008111139470964;-0.025714231042421504;0.048147206949774715;-0.042790357783916794;0.003917955553664775;0.0085221013544428;0.02747652167615301;-0.004348008834720048;-0.02219055836454343;-0.019737233356269382;0.005414439419664886;-0.03186556970680696;-0.03497836648473671;0.018010770169264362;0.013903650780789692;0.019620885176330753;-0.0060462727677230745;-0.01723446975914446;0.007416777420224264;-0.015515600067515794;-0.019973953438285858;-0.013952533534455656;0.036161894263213964;-0.020136226427211475;0.041442024055179216;0.006454288967993959;0.02592595702571476;-0.01982229924692729;0.02158898923556264;-0.009388966103549121;-0.008023394789249306;-0.008229653341909556;0.015739237464977872;0.009493407150778425;-0.015937242601080707;-0.0458648241914549;0.005931381892357628;0.031738320135412654;0.007577265862747827;-0.0071905739320855646;0.010410782999868733;0.0052108447335609655;-0.020912199387157767;0.03815264617133279;-0.006935279291076186;0.03383488349260118;0.008501420172567874;-0.021556184107438463;-0.007856022524411272;0.07165565176048386;0.0037556537874687684;0.015652511116036806;-0.011313592692101738;-0.006575919199777525;0.006399533932959501;-0.028779508547136786;0.03007992534805825;4.655690291231495e-16;75.44467188467236
M122.09645-T1.838;1.1594861512246448;0.08474216854383752;0.15418413028485625;0.07152707264863027;0.27071547254704487;0.03535533597703403;0.11378558992709924;-0.16264703002035175;-0.1480398647739955;0.04966145727060558;0.06484928784197112;0.08437497117426361;0.03457626702004302;-0.4878363582781839;0.16500056708160984;-0.3551466689061236;0.08068413207728044;0.0632391586430902;-0.06635985855095286;0.06267037478548336;0.023963242543393107;0.17235134891738269;0.18654671639368628;-0.029921483911755167;-0.04160726231142731;0.027867189786486463;-0.16572146978900365;0.080784416956357;-0.021083806577129747;-0.1252741302068326;-0.18418731289090828;-0.07002321782446462;-0.31521340146425814;-0.27301611327793457;0.16517571044083276;-0.08943992655187522;0.11182692041054261;-0.020646945677908066;0.046853094178421005;0.22459413736798575;-0.1095485917476926;-0.11947147021544652;-0.06431760646623964;0.029263639888904708;0.22386256366016818;0.12664473437785626;0.016198372237582602;-0.04131441964779605;0.0656839042005595;0.091146956642764;-0.018613576127909762;0.11780590248654145;0.029909886017634273;0.015062859205880625;0.14403469206990607;0.05532172491683321;-0.04084131720009605;-0.05682921066366388;-0.041584061834116705;0.06296634176208439;-0.11403416320640652;-0.00020989194938787366;-0.0873281501281685;-0.09417127233969072;-0.049183487188027036;0.025043071085150276;0.017649277617425286;0.005620103185314361;-0.0490890550437548;-0.00024260796178480424;0.07296677206850286;0.10922797176523044;0.03577009174230199;-0.05818029095460295;-0.006964068018486009;0.014220012991121281;0.026410148624514605;-0.04460927784028812;0.040765988559849066;0.00023306147721795505;0.007127373885575292;0.031154699283968308;0.0012070008507523522;-6.989684381570488e-16;69.09682827039198
